"","sub","onset","offset","tier","age","duration","seq_cat","syllable_total","inter_speech_interval","caregiver_response","elicited_response"
"200",4,1469.197,1469.392,"infant vocs","10 months",0.195000000000164,"individual syllable",1,2.51409899999999,NA,1
"201",4,1470.287019,1472.270494,"Parent","10 months",1.983475,NA,NA,0.895019000000048,1,NA
"202",4,1473.105005,1474.507951,"Parent","10 months",1.40294600000016,NA,NA,0.834510999999793,0,NA
"203",4,1483.176,1483.332,"infant vocs","10 months",0.156000000000176,"individual syllable",1,8.66804899999988,NA,1
"204",4,1483.905268,1485.985497,"Parent","10 months",2.08022899999992,NA,NA,0.573267999999871,1,NA
"205",4,1487.63033,1489.32354,"Parent","10 months",1.69321000000014,NA,NA,1.64483300000006,0,NA
"206",4,1490.701,1491.247,"infant vocs","10 months",0.546000000000049,"sequence",2,1.37745999999993,NA,0
"207",4,1492.753,1493.019,"infant vocs","10 months",0.266000000000076,"individual syllable",1,1.50599999999986,NA,0
"208",4,1494.314,1495.003,"infant vocs","10 months",0.688999999999851,"sequence",2,1.29500000000007,NA,1
"209",4,1495.419097,1495.999626,"Parent","10 months",0.58052900000007,NA,NA,0.416097000000036,1,NA
"210",4,1497.172779,1497.801686,"Parent","10 months",0.628907000000027,NA,NA,1.17315299999996,0,NA
"211",6,605.975528,609.058895,"Parent","10 months",3.08336699999995,NA,NA,NA,0,NA
"212",6,611.069787,612.356757,"Parent","10 months",1.28697,NA,NA,2.01089200000001,0,NA
"213",6,618.615,620.9,"infant vocs","10 months",2.28499999999997,"sequence",2,6.25824299999999,NA,1
"214",6,619.91771,621.4728,"Parent","10 months",1.55508999999995,NA,NA,-0.982289999999921,1,NA
"215",6,629.955,631.085,"infant vocs","10 months",1.13,"individual syllable",1,8.48220000000003,NA,1
"216",6,630.508407,632.894665,"Parent","10 months",2.386258,NA,NA,-0.576593000000003,1,NA
"217",6,636.21934,636.51427,"Parent","10 months",0.294930000000022,NA,NA,3.32467499999996,0,NA
"218",6,637.03,638.31,"infant vocs","10 months",1.27999999999997,"individual syllable",1,0.515729999999962,NA,1
"219",6,639.195459,640.187499,"Parent","10 months",0.992039999999974,NA,NA,0.885459000000083,1,NA
"220",6,652.065167,660.537724,"Parent","10 months",8.47255700000005,NA,NA,11.877668,0,NA
"221",6,653.59,655.51,"infant vocs","10 months",1.91999999999996,"sequence",3,-6.94772399999999,NA,0
"222",6,661.645,661.985,"infant vocs","10 months",0.340000000000032,"individual syllable",1,6.13499999999999,NA,0
"223",6,663.865,664.405,"infant vocs","10 months",0.539999999999964,"individual syllable",1,1.88,NA,0
"224",6,665.655,665.935,"infant vocs","10 months",0.279999999999973,"individual syllable",1,1.25,NA,1
"225",6,666.141409,683.649573,"Parent","10 months",17.5081640000001,NA,NA,0.206409000000008,1,NA
"226",6,667.335,668.805,"infant vocs","10 months",1.46999999999991,"sequence",2,-16.314573,NA,0
"227",6,670.01,670.4,"infant vocs","10 months",0.389999999999986,"individual syllable",1,1.20500000000004,NA,0
"228",6,671.965,672.465,"infant vocs","10 months",0.5,"individual syllable",1,1.56500000000005,NA,0
"229",6,678.595,679.055,"infant vocs","10 months",0.459999999999923,"individual syllable",1,6.13,NA,0
"230",6,680.515,682.275,"infant vocs","10 months",1.75999999999999,"individual syllable",1,1.46000000000004,NA,0
"231",6,688.877892,692.846051,"Parent","10 months",3.96815900000001,NA,NA,6.602892,0,NA
"232",6,696.036666,696.894647,"Parent","10 months",0.857980999999995,NA,NA,3.19061499999998,0,NA
"233",6,697.315,698.275,"infant vocs","10 months",0.959999999999923,"individual syllable",1,0.420353000000091,NA,0
"234",6,700.728747,703.919362,"Parent","10 months",3.19061499999998,NA,NA,2.45374700000002,0,NA
"235",6,707.967957,709.415799,"Parent","10 months",1.44784200000004,NA,NA,4.04859499999998,0,NA
"236",6,713.571642,715.877465,"Parent","10 months",2.30582300000003,NA,NA,4.155843,0,NA
"237",6,714.835,715.795,"infant vocs","10 months",0.959999999999923,"individual syllable",1,-1.04246499999999,NA,0
"238",6,717.481,717.941,"infant vocs","10 months",0.460000000000036,"individual syllable",1,1.68600000000004,NA,0
"239",6,719.031,719.681,"infant vocs","10 months",0.650000000000091,"individual syllable",1,1.08999999999992,NA,0
"240",6,723.476,723.966,"infant vocs","10 months",0.490000000000009,"individual syllable",1,3.79499999999996,NA,0
"241",6,727.86238,729.471093,"Parent","10 months",1.60871299999997,NA,NA,3.89638000000002,0,NA
"242",6,730.571,732.881,"infant vocs","10 months",2.30999999999995,"sequence",2,1.09990700000003,NA,1
"243",6,733.479471,737.890027,"Parent","10 months",4.41055600000004,NA,NA,0.598471000000018,1,NA
"244",6,740.12882,749.392328,"Parent","10 months",9.263508,NA,NA,2.23879299999999,0,NA
"245",6,751.818804,752.569537,"Parent","10 months",0.750732999999968,NA,NA,2.42647599999998,0,NA
"246",6,756.122112,758.387717,"Parent","10 months",2.26560499999994,NA,NA,3.55257500000005,0,NA
"247",6,757.376,760.866,"infant vocs","10 months",3.49000000000001,"sequence",3,-1.01171699999998,NA,1
"248",6,762.583777,763.549006,"Parent","10 months",0.965228999999908,NA,NA,1.71777700000007,1,NA
"249",6,770.292196,774.300573,"Parent","10 months",4.008377,NA,NA,6.74319000000003,0,NA
"250",6,773.646,777.661,"infant vocs","10 months",4.01499999999999,"sequence",2,-0.654573000000028,NA,1
"251",6,779.448456,781.767685,"Parent","10 months",2.31922900000006,NA,NA,1.78745600000002,1,NA
"252",6,787.921014,792.237728,"Parent","10 months",4.31671399999993,NA,NA,6.15332899999999,0,NA
"253",6,790.656,792.856,"infant vocs","10 months",2.20000000000005,"sequence",2,-1.581728,NA,1
"254",6,794.208402,802.131315,"Parent","10 months",7.92291299999999,NA,NA,1.35240199999998,1,NA
"255",6,805.876,806.416,"infant vocs","10 months",0.540000000000077,"individual syllable",1,3.744685,NA,0
"256",6,811.488665,815.483637,"Parent","10 months",3.99497200000008,NA,NA,5.07266499999992,0,NA
"257",6,817.507934,819.103242,"Parent","10 months",1.59530800000005,NA,NA,2.02429699999993,0,NA
"258",6,824.184095,829.479443,"Parent","10 months",5.29534799999999,NA,NA,5.08085299999993,0,NA
"259",6,826.986,827.686,"infant vocs","10 months",0.700000000000045,"individual syllable",1,-2.49344299999996,NA,0
"260",6,830.996,832.95,"infant vocs","10 months",1.95400000000006,"sequence",2,3.30999999999995,NA,0
"261",6,836.121,837.04,"infant vocs","10 months",0.918999999999983,"sequence",2,3.17099999999994,NA,1
"262",6,838.01903,839.225565,"Parent","10 months",1.20653499999992,NA,NA,0.97903000000008,1,NA
"263",6,839.736,839.966,"infant vocs","10 months",0.230000000000018,"individual syllable",1,0.51043500000003,NA,0
"264",6,848.931469,850.258658,"Parent","10 months",1.32718899999998,NA,NA,8.96546899999998,0,NA
