,bird_ID,motif_ID,motif_onset,motif_offset,motif_duration,condition,Brother_ID,syllable_count,syll_per_sec,age
257,R-W,motif6,0.058294,0.663861,0.6055670000000001,Contingent,1_B,7,11.55941456519262,ninety
258,R-W,motif7,0.002642,0.507346,0.5047039999999999,Contingent,1_B,5,9.906796855186407,ninety
259,R-W,motif9,0.001195,0.542706,0.5415110000000001,Contingent,1_B,7,12.926791884190717,ninety
260,R-W_MBL,motif1,0.005678,0.765751,0.760073,Contingent,1_C,9,11.840967907029983,ninety
261,R-W_MBL,motif10,0.015838,0.790224,0.774386,Contingent,1_C,9,11.62211093692293,ninety
262,R-W_MBL,motif12,0.015838,0.749379,0.733541,Contingent,1_C,9,12.269252843399347,ninety
263,R-W_MBL,motif13,0.000863,0.817461,0.816598,Contingent,1_C,11,13.470520378448146,ninety
264,R-W_MBL,motif4,0.003258,0.75587,0.7526120000000001,Contingent,1_C,9,11.958353042470755,ninety
265,R-W_MBL,motif5,0.000815,0.769716,0.768901,Contingent,1_C,9,11.70501794119139,ninety
266,R-W_MBL,motif6,0.028842,0.775434,0.7465919999999999,Contingent,1_C,9,12.054776906262056,ninety
267,R-W_MBL,motif7,0.014919,0.789857,0.774938,Contingent,1_C,9,11.613832332393043,ninety
268,R-W_MBL,motif8,0.011603,0.770794,0.759191,Contingent,1_C,9,11.854724305214367,ninety
269,R-W_MBL,motif9,0.02072,0.788179,0.767459,Contingent,1_C,9,11.727010824030991,ninety
270,R_DBL,motif1,0.02584,0.677017,0.651177,Yoked,1_F,11,16.89248852462541,ninety
271,R_DBL,motif10,0.01919,0.552859,0.533669,Yoked,1_F,7,13.11674464883664,ninety
272,R_DBL,motif2,0.029218,0.569401,0.5401830000000001,Yoked,1_F,7,12.958571447083672,ninety
273,R_DBL,motif3,0.00537,0.551358,0.545988,Yoked,1_F,7,12.820794596218231,ninety
274,R_DBL,motif4,0.011293,0.675475,0.664182,Yoked,1_F,11,16.561725551129058,ninety
275,R_DBL,motif5,0.011293,0.558308,0.547015,Yoked,1_F,7,12.796724038646106,ninety
276,R_DBL,motif6,0.024551,0.725782,0.701231,Yoked,1_F,11,15.68669953267896,ninety
277,R_DBL,motif7,0.018413,0.659802,0.641389,Yoked,1_F,11,17.150278536114588,ninety
278,R_DBL,motif8,0.009786,0.608838,0.599052,Yoked,1_F,8,13.354433338007384,ninety
279,R_DBL,motif9,0.003655,0.866298,0.862643,Yoked,1_F,15,17.388421397959526,ninety
280,R_W-BK_W,motif1,0.031667,2.69802,2.666353,Yoked,1_C,28,10.501235207791316,ninety
281,R_W-BK_W,motif10,0.009093,1.027507,1.018414,Yoked,1_C,12,11.783027334659579,ninety
282,R_W-BK_W,motif2,0.041417,1.884472,1.8430549999999999,Yoked,1_C,22,11.936702919880307,ninety
283,R_W-BK_W,motif3,0.044403,1.99389,1.949487,Yoked,1_C,22,11.285020110418792,ninety
284,R_W-BK_W,motif4,0.019021,2.253938,2.2349170000000003,Yoked,1_C,23,10.291209919652497,ninety
285,R_W-BK_W,motif5,0.023776,0.967672,0.943896,Yoked,1_C,14,14.832142524176392,ninety
286,R_W-BK_W,motif6,0.023776,1.067966,1.04419,Yoked,1_C,13,12.449841503940855,ninety
287,R_W-BK_W,motif7,0.019667,1.016413,0.996746,Yoked,1_C,13,13.04244010008568,ninety
288,R_W-BK_W,motif8,0.039403,1.427598,1.3881949999999998,Yoked,1_C,16,11.52575826883111,ninety
289,R_W-BK_W,motif9,0.024248,0.839585,0.815337,Yoked,1_C,10,12.264867165356167,ninety
290,Tng,motif1,0.015344,0.507401,0.49205699999999997,Yoked,1_G,7,14.225994142954983,ninety
291,Tng,motif10,0.006584,0.593232,0.586648,Yoked,1_G,9,15.341397226275383,ninety
